[2026-06-11 03:28:47] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged into Streamlit dashboard
[2026-06-11 03:29:08] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged out of Streamlit dashboard
[2026-06-11 03:29:18] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:20] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:22] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:24] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:25] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:37] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged into Streamlit dashboard
[2026-06-11 03:30:03] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged out of Streamlit dashboard
[2026-06-11 03:30:16] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical | NOTE=User logged into Streamlit dashboard
[2026-06-11 04:50:20] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 18:46:01] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 19:18:16] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 19:22:09] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 19:22:28] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-07-22 19:24:57] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-07-22 19:25:15] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-29 07:29:34] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:00:16] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:06:57] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:12:12] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:14:09] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP003 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-08-04 15:14:18] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-08-04 15:17:58] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-08-04 15:19:34] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-08-04 15:24:21] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-08-04 15:24:59] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:25:15] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:25:56] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:30:21] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 15:31:45] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-08-04 20:35:09] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-04 21:33:34] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-10 22:10:49] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-10 22:15:04] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-10 22:15:25] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-10 22:45:27] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-08-10 22:45:50] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-09-07 16:06:46] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
